date,Python,Java,C
2023-08-27,29,20,86
2023-09-03,31,21,88
2023-09-10,32,21,92
2023-09-17,32,21,98
2023-09-24,33,21,92
2023-10-01,33,20,92
2023-10-08,34,22,92
2023-10-15,33,21,90
2023-10-22,32,20,87
2023-10-29,32,20,84
2023-11-05,31,19,88
2023-11-12,31,19,83
2023-11-19,31,19,89
2023-11-26,33,20,100
2023-12-03,32,18,93
2023-12-10,30,20,88
2023-12-17,29,19,89
2023-12-24,22,15,85
2023-12-31,24,17,84
2024-01-07,30,19,89
2024-01-14,31,19,90
2024-01-21,32,20,90
2024-01-28,35,21,91
2024-02-04,35,22,93
2024-02-11,35,24,91
2024-02-18,35,22,90
2024-02-25,33,23,94
2024-03-03,34,22,92
2024-03-10,35,22,91
2024-03-17,34,21,90
2024-03-24,33,20,86
2024-03-31,31,20,86
2024-04-07,30,19,88
2024-04-14,32,20,89
2024-04-21,31,20,91
2024-04-28,30,19,88
2024-05-05,31,20,82
2024-05-12,31,20,89
2024-05-19,31,20,92
2024-05-26,31,19,86
2024-06-02,32,19,93
2024-06-09,31,20,84
2024-06-16,29,20,89
2024-06-23,29,18,85
2024-06-30,27,19,82
2024-07-07,29,19,88
2024-07-14,29,19,88
2024-07-21,28,19,89
2024-07-28,27,18,85
2024-08-04,27,19,86
2024-08-11,27,18,87
2024-08-18,28,18,83
2024-08-25,29,19,88
